name,files,data_points,model_points,threshold,data_covered,data_uncovered,mean_data_to_model,max_data_to_model,model_over_ratio,mean_model_to_data,max_model_to_data
GD,1,378,1475,1.0,0.2962962962962963,0.7037037037037037,4.173524988868428,25.731789677362126,0.6576271186440678,1.4968853536280868,5.062114182829147
CS,1,378,3435,1.0,0.671957671957672,0.328042328042328,1.4533289108774592,11.71003842863037,0.5761280931586609,1.365294717066228,5.062114182829147
Memetic,1,378,1357,1.0,0.6481481481481481,0.35185185185185186,3.1059443026286573,22.318714120665643,0.131171702284451,0.5913830790302177,2.850438562747845
