name,files,data_points,model_points,threshold,data_covered,data_uncovered,mean_data_to_model,max_data_to_model,model_over_ratio,mean_model_to_data,max_model_to_data
nurbsfit_current,5,10000,10032,0.025,1.0,0.0,0.005124926142392118,0.01374551631747198,0.0,0.005396700471401762,0.018365669365330822
nurbsfit_before_paper,5,10000,13257,0.025,0.8921,0.1079,0.01120364592578056,0.13379317756039544,0.030172738930376405,0.008138051487517188,0.1502022894822697
fiting_run10_uv,1,10000,16146,0.025,0.9895,0.0105,0.007325735645440584,0.037154266239986106,0.0017341756472191254,0.008022732828627924,0.039676358763705705
fiting_run10_trimmed,1,10000,16110,0.025,0.9893,0.0107,0.007326886095857981,0.037154266239986106,0.0,0.007981853406232144,0.024999915921331172
